# Labels,Labels,Labels,Labels,Labels,Energy (Hz)
# N,MF,d_pi(d0),d_plus(d0),d_minus(d0)
1,-2,-0.000000,0.000000,-0.000000,980546649.617793
1,-1,-0.000000,-0.000000,0.000000,980549708.380102
1,0,-0.000000,-0.000000,0.000000,980559617.969214
1,-3,0.000000,0.000000,-0.000000,980571204.168570
1,-1,0.000000,0.000000,0.000000,980596729.364843
1,-3,0.000000,0.000000,-0.000000,980634909.015008
1,-1,-0.000000,-0.000000,-0.000000,980643055.097341
1,1,0.000000,-0.000000,0.000000,980663816.861562
1,-2,-0.000000,-0.000000,-0.000000,980666753.562771
1,-1,-0.000000,-0.000000,0.000000,980676923.682471
1,-4,-0.000000,-0.000000,0.000000,980677659.047119
1,-2,0.000000,0.000000,0.000000,980721651.555261
1,-2,0.000000,0.000000,-0.000000,980747838.541695
1,-5,0.000000,-0.000000,0.000000,980783318.204127
1,-3,-0.000000,-0.000000,0.000000,980784053.391915
1,-0,0.000000,-0.000000,-0.000000,980789389.841039
1,-2,-0.000000,-0.000000,0.000000,980793822.455117
1,-3,-0.000000,-0.000000,0.000000,980844148.281485
1,-3,0.000000,0.000000,-0.000000,980852850.607395
1,-4,0.000000,0.000000,-0.000000,980903887.900738
1,-3,0.000000,0.000000,-0.000000,980909858.476579
1,-1,0.000000,0.000000,0.000000,980912707.198052
1,-4,-0.000000,-0.000000,0.000000,980973402.819100
1,-4,0.000000,0.000000,-0.000000,981025126.145714
1,-2,0.000000,0.000000,-0.000000,981034205.655271
1,-5,-0.000000,-0.000000,0.000000,981097258.164565
1,-5,0.000000,0.000000,-0.000000,981139862.942895
1,-3,-0.000000,-0.000000,-0.000000,981154180.300976
1,-6,0.000000,0.000000,0.000000,981220400.329754
1,-4,0.000000,-0.000000,-0.000000,981272840.260901
2,6,0.000000,0.000000,0.000000,2940322698.924539
2,5,0.000000,0.000000,0.000000,2940325216.935891
2,4,-0.000000,-0.000000,-0.000000,2940343753.275921
2,3,-0.000000,-0.000000,-0.000000,2940376462.834583
2,5,0.000000,0.000000,0.000000,2940388422.027280
2,4,0.000000,0.000000,-0.000000,2940391195.791451
2,3,0.000000,0.000000,-0.000000,2940423556.494684
2,2,-0.000000,-0.000000,0.000000,2940432743.679002
2,7,0.000000,0.000000,0.000000,2940454583.985958
2,4,0.000000,0.000000,-0.000000,2940458646.245046
2,3,0.000000,0.000000,-0.000000,2940459820.389467
2,2,0.000000,0.000000,0.000000,2940484746.557628
2,1,0.000000,0.000000,-0.000000,2940502714.462626
2,6,-0.000000,0.000000,-0.000000,2940512233.053302
2,2,-0.000000,0.000000,-0.000000,2940528363.491657
2,3,0.000000,0.000000,-0.000000,2940532093.671056
2,2,-0.000000,-0.000000,0.000000,2940541896.920645
2,1,0.000000,0.000000,-0.000000,2940555603.716663
2,5,0.000000,0.000000,0.000000,2940575369.638595
2,-0,-0.000000,-0.000000,0.000000,2940579971.053871
2,6,-0.000000,-0.000000,0.000000,2940596898.041673
2,1,-0.000000,-0.000000,-0.000000,2940602103.599618
2,2,0.000000,-0.000000,0.000000,2940607985.329684
2,1,-0.000000,-0.000000,0.000000,2940618981.067452
2,0,-0.000000,-0.000000,-0.000000,2940630480.768332
2,5,0.000000,0.000000,0.000000,2940633099.799489
2,3,0.000000,0.000000,-0.000000,2940642399.113893
